公司名,编号,地区,主要产品,主要市场,交易量,交易额
"Dongguan Paleo Industrial Co., Ltd.  ",1,Dongguan,"Baby ', 'Children', ' Sweater,Baby Knit Romper,Baby Knit Dress,Baby Clothing Sets,Baby ', 'Children', ' Pants","Domestic Market 40%', 'Oceania 20%', 'North America 20%",66,80000
"Dongguan Han Deng Long Garment Co., Ltd.  ",1,Dongguan,"Sweaters,Hats,Scarves,Knitted Dresses,Woven Garment","North America 50.0%', 'Oceania 20.0%', 'Mid East 10.0%",46,110000
"Yiwu Yawoo Garments Co., Ltd.  ",1,Yiwu,"Pettiskirts,Petti rompers,Petti tops,Petti bloomers,Petti pants",,140,100000
Zhuhai Yingjia Garment Manufactory  ,1,Zhuhai,"Girls' Clothing,Boy's Clothing,Baby Clothing,Infant's Wear,Girls' Dresses","South America 80%', 'North America 20%",0,0
"Wujiang Rainbow Textile Manufacturing Co., Ltd.  ",1,Wujiang,"T Shirts,Hoodies & Sweatshirts,Pillow Case,Cushion,Underwear,Yoga Pant,Beach Shorts","North America 35.0%', 'Western Europe 31.0%', 'Oceania 5.0%",456,60000
"Xiamen Cenxing Import & Export Co., Ltd.  ",1,Xiamen,"cardigan,pants,t shirts,hoodies,school uniform","North America 30%', 'South America 15%', 'Western Europe 15%",135,100000
Shenzhen Baoan Lifu Garment Factory  ,1,Shenzhen,"Women's Clothing,Men's Clothing,Kid's Wear,Bags,Hats","Oceania 15%', 'Western Europe 15%', 'North America 15%",149,20000
"Guangzhou Toturn Trade Co., Ltd.  ",1,Guangzhou,"Men Suit,Printed Blazer,Men Shirt,Polo & T-Shirt,Ties","North America 45%', 'Eastern Europe 35%', 'Western Europe 7%",81,20000
"Yiwu Brillant Trading Co., Ltd.  ",1,Yiwu,"jewelry,', 'clothes', ',bag,toy,shoes","Africa 10%', 'Southern Europe 10%', 'Western Europe 10%",429,50000
Yiwu Lollipop-Professional Garment Factory  ,1,Yiwu,"Baby ', 'clothes', ',baby rompers,Baby pants,Bloomers,Baby tops","North America 65%', 'Western Europe 5%', 'South America 5%",37,8000
"Luan Chengyi Trade Co., Ltd.  ",1,Luan,"shoes,', 'clothes', ',bags,socks,accessories","South America 11%', 'North America 11%', 'Northern Europe 10%",125,10000
"Hangzhou Detex Garments Co., Ltd.  ",1,Hangzhou,Apparel,"Western Europe 75.0%', 'Eastern Europe 10.0%', 'Oceania 5.0%",110,640000
"Yiwu Haozhan Apparel Co., Ltd.  ",1,Yiwu,kids clothing,,0,0
"Shijiazhuang Xiameng Apparel Co., Ltd.  ",1,Shijiazhuang,"baby bibs,baby rompers,girl dresses,Kids T-shirts,Kids pajamas","North America 40%', 'Oceania 15%', 'Western Europe 10%",359,200000
Yiwu City Liangzhe Garment Factory  ,1,Yiwu,"Pettiskirt,T-shirt,Romper,Ballet Tutus,Baby ', 'clothes","North America 50%', 'South America 40%', 'Eastern Europe 10%",33,9000
"Nanchang Xinyayi Clothing Manufacturing Co., Ltd.  ",1,Nanchang,"T-Shirt,Fleece,Sweatshirt,Polo Shirt,', 'Children', ' Wear","North America 30%', 'Southern Europe 10%', 'South Asia 10%",0,0
"Yongkang Kuduo Trade Co., Ltd.  ",1,Yongkang,"children', ' ', 'clothes', ',baby kids ', 'clothes', ',baby sets",,132,20000
"Hefei Beauty International Trading Co., Ltd.  ",1,Hefei,"OEM Ladies clothing,', ""Children's"", "" clothing,Men's clothing,Bags,Shoes","North America 20%', 'Southeast Asia 10%', 'South America 10%",356,60000
Wuxing Zhili Tongbufang Garment Factory  ,1,Wuxing,"kid-clothing,', 'children', ' ', 'clothes', ',', 'children', ' pants,traditional Chinese costumes,Chinese style ', 'clothes","Domestic Market 60%', 'Southeast Asia 20%', 'Mid East 10%",0,0
"Hefei Meshine Trading Co., Ltd.  ",1,Hefei,"children's"", ' ', 'clothes', "",women's "", 'clothes', "",men's "", 'clothes', ',bags,shoes","North America 20%', 'Central America 20%', 'Western Europe 12%",9,5000
"Yiwu City Yiyuan Apparel Co., Ltd.  ",1,Yiwu,"Baby ', 'clothes', ',kids ', 'clothes', ',Hair accessories,Baby shoes,mom and me matching clothing","North America 65%', 'Eastern Europe 10%', 'South America 7%",72,80000
"Huzhou Zhili Jingcheng Apparel Co., Ltd.  ",1,Huzhou,"apparel,apparel stock,dress,Lingerie,wig",,49,10000
"Shenzhen MaRainbow Clothing Co., Ltd.  ",1,Shenzhen,"performance gym training fitness shirts ', 'clothes', ',baseball jerseys,performance fishing shirts garment,fashion streetwear leisure clothing,fitted tracksuits and joggers","North America 35%', 'Eastern Europe 10%', 'Western Europe 10%",339,220000
"Yiwu Ai Qian E-Commerce Co., Ltd.  ",1,Yiwu,"turban,headband,scarf,Fashion scarf,hair cap","North America 50%', 'South America 10%', 'Mid East 9%",27,2000
"Guangzhou Yi Ai Trading Co., Ltd.  ",1,Guangzhou,"girl dress,girl party dress,girl clothing,boy clothing,cosplay costume","North America 60%', 'Eastern Europe 20%', 'Southeast Asia 10%",145,50000
Shanghai Royal Hao Garment Firm  ,1,Shanghai,"children', ' T shirts,girl dresses,', 'children', ' coats,', 'children', ' shirts,trousers&pants","Eastern Europe 15%', 'North America 15%', 'Western Europe 15%",25,1000
"Ningjin County Langrun Clothing Co., Ltd.  ",1,Ningjin,"Children's"", ' wear,', ""Children's"", ' knitwear,', ""Children's"", ' shoes,', ""Children's"", "" hats,Chlidren's bath towel","South Asia 20%', 'Mid East 20%', 'North America 10%",7,300
"Nanchang Yoozze Clothing Co., Ltd.  ",1,Nanchang,"T Shirt,Polo Shirt,Sweatshirt,Sweatpants,Kids Wear","North America 54%', 'Oceania 31%', 'Western Europe 3%",35,630000
"Yiwu Kaiyo Garment Co., Ltd.  ",1,Yiwu,"baby ', 'clothes', ',', 'children', ' ', 'clothes', ',kids ', 'clothes', ',girls dress,pajamas","North America 50%', 'Oceania 10%', 'Western Europe 7%",46,20000
